lon;lat
-93.984051;45.361952
-93.975067;45.412424
-93.993034;45.406118
-93.984051;45.368264
-94.002017;45.387194
-94.011000;45.393502
-93.984051;45.374574
-94.011000;45.399810
-93.993034;45.412424
-94.002017;45.393502
-93.966084;44.471400
-93.984051;45.380885
-93.957101;44.471400
-94.002017;45.399810
-94.011000;45.406118
-93.984051;45.387194
-93.966084;44.477810
-93.957101;44.477810
-94.002017;45.406118
-93.984051;45.393502
-94.011000;45.412424
-93.966084;44.484219
-93.957101;44.484219
-94.002017;45.412424
-93.984051;45.399810
-93.957101;44.490628
-93.948118;44.471400
-93.984051;45.406118
-93.966084;44.490628
-93.957101;44.497036
-93.984051;45.412424
-93.966084;44.497036
-93.957101;44.503443
-93.948118;44.477810
-93.939135;44.471400
-93.966084;44.503443
-93.957101;44.509850
-93.930152;44.471400
-93.948118;44.484219
-93.966084;44.509850
-93.939135;44.477810
-93.957101;44.516255
-93.948118;44.490628
-93.930152;44.477810
-93.966084;44.516255
-93.939135;44.484219
-93.948118;44.497036
-93.930152;44.484219
-93.957101;44.522661
-93.966084;44.522661
-93.939135;44.490628
-93.948118;44.503443
-93.930152;44.490628
-93.957101;44.529065
-93.939135;44.497036
-93.948118;44.509850
-93.966084;44.529065
-93.957101;44.535469
-93.948118;44.516255
-93.939135;44.503443
-93.930152;44.497036
-93.957101;44.541872
-93.948118;44.522661
-93.930152;44.503443
-93.966084;44.535469
-93.948118;44.529065
-93.939135;44.509850
-93.930152;44.509850
-93.957101;44.548274
-93.948118;44.535469
-93.930152;44.516255
-93.957101;44.554675
-93.966084;44.541872
-93.939135;44.516255
-93.948118;44.541872
-93.957101;44.561076
-93.966084;44.548274
-93.948118;44.548274
-93.930152;44.522661
-93.957101;44.567476
-93.939135;44.522661
-93.966084;44.554675
-93.948118;44.554675
-93.939135;44.529065
-93.966084;44.561076
-93.957101;44.573876
-93.930152;44.529065
-93.948118;44.561076
-93.939135;44.535469
-93.966084;44.567476
-93.930152;44.535469
-93.939135;44.541872
-93.966084;44.573876
-93.948118;44.567476
-93.957101;44.580275
-93.939135;44.548274
-93.930152;44.541872
-93.966084;44.580275
-93.948118;44.573876
-93.939135;44.554675
-93.966084;44.586673
-93.930152;44.548274
-93.957101;44.586673
-93.948118;44.580275
-93.939135;44.561076
-93.966084;44.593070
-93.930152;44.554675
-93.939135;44.567476
-93.966084;44.599467
-93.957101;44.593070
-93.930152;44.561076
-93.939135;44.573876
-93.948118;44.586673
-93.957101;44.599467
-93.966084;44.605863
-93.930152;44.567476
-93.957101;44.605863
-93.966084;44.612258
-93.939135;44.580275
-93.948118;44.593070
-93.957101;44.612258
-93.939135;44.586673
-93.930152;44.573876
-93.957101;44.618652
-93.966084;44.618652
-93.948118;44.599467
-93.939135;44.593070
-93.957101;44.625046
-93.948118;44.605863
-93.930152;44.580275
-93.939135;44.599467
-93.957101;44.631439
-93.966084;44.625046
-93.948118;44.612258
-93.939135;44.605863
-93.948118;44.618652
-93.930152;44.586673
-93.957101;44.637832
-93.966084;44.631439
-93.939135;44.612258
-93.930152;44.593070
-93.966084;44.637832
-93.948118;44.625046
-93.939135;44.618652
-93.930152;44.599467
-93.957101;44.644224
-93.948118;44.631439
-93.966084;44.644224
-93.930152;44.605863
-93.939135;44.625046
-93.957101;44.650615
-93.966084;44.650615
-93.948118;44.637832
-93.939135;44.631439
-93.930152;44.612258
-93.957101;44.657005
-93.948118;44.644224
-93.939135;44.637832
-93.966084;44.657005
-93.957101;44.663395
-93.948118;44.650615
-93.939135;44.644224
-93.930152;44.618652
-93.957101;44.669783
-93.939135;44.650615
-93.948118;44.657005
-93.957101;44.676172
-93.966084;44.663395
-93.930152;44.625046
-93.939135;44.657005
-93.957101;44.682559
-93.930152;44.631439
-93.939135;44.663395
-93.948118;44.663395
-93.957101;44.688946
-93.966084;44.669783
-93.939135;44.669783
-93.957101;44.695332
-93.948118;44.669783
-93.966084;44.676172
-93.930152;44.637832
-93.939135;44.676172
-93.957101;44.701717
-93.966084;44.682559
-93.939135;44.682559
-93.957101;44.708102
-93.930152;44.644224
-93.948118;44.676172
-93.939135;44.688946
-93.957101;44.714486
-93.930152;44.650615
-93.966084;44.688946
-93.939135;44.695332
-93.957101;44.720869
-93.930152;44.657005
-93.948118;44.682559
-93.939135;44.701717
-93.966084;44.695332
-93.930152;44.663395
-93.957101;44.727252
-93.948118;44.688946
-93.939135;44.708102
-93.930152;44.669783
-93.966084;44.701717
-93.948118;44.695332
-93.939135;44.714486
-93.930152;44.676172
-93.957101;44.733634
-93.948118;44.701717
-93.939135;44.720869
-93.966084;44.708102
-93.957101;44.740015
-93.930152;44.682559
-93.948118;44.708102
-93.939135;44.727252
-93.948118;44.714486
-93.930152;44.688946
-93.939135;44.733634
-93.966084;44.714486
-93.948118;44.720869
-93.957101;44.746395
-93.930152;44.695332
-93.939135;44.740015
-93.948118;44.727252
-93.957101;44.752775
-93.939135;44.746395
-93.930152;44.701717
-93.966084;44.720869
-93.948118;44.733634
-93.939135;44.752775
-93.957101;44.759154
-93.930152;44.708102
-93.939135;44.759154
-93.957101;44.765533
-93.930152;44.714486
-93.966084;44.727252
-93.948118;44.740015
-93.939135;44.765533
-93.957101;44.771910
-93.930152;44.720869
-93.948118;44.746395
-93.966084;44.733634
-93.957101;44.778287
-93.930152;44.727252
-93.948118;44.752775
-93.939135;44.771910
-93.930152;44.733634
-93.957101;44.784663
-93.966084;44.740015
-93.948118;44.759154
-93.930152;44.740015
-93.966084;44.746395
-93.939135;44.778287
-93.948118;44.765533
-93.957101;44.791039
-93.930152;44.746395
-93.966084;44.752775
-93.939135;44.784663
-93.957101;44.797414
-93.966084;44.759154
-93.948118;44.771910
-93.939135;44.791039
-93.957101;44.803788
-93.930152;44.752775
-93.966084;44.765533
-93.957101;44.810161
-93.966084;44.771910
-93.930152;44.759154
-93.939135;44.797414
-93.948118;44.778287
-93.966084;44.778287
-93.930152;44.765533
-93.957101;44.816534
-93.939135;44.803788
-93.930152;44.771910
-93.948118;44.784663
-93.966084;44.784663
-93.939135;44.810161
-93.930152;44.778287
-93.957101;44.822906
-93.948118;44.791039
-93.939135;44.816534
-93.966084;44.791039
-93.930152;44.784663
-93.966084;44.797414
-93.939135;44.822906
-93.948118;44.797414
-93.930152;44.791039
-93.957101;44.829277
-93.939135;44.829277
-93.930152;44.797414
-93.948118;44.803788
-93.966084;44.803788
-93.957101;44.835648
-93.939135;44.835648
-93.966084;44.810161
-93.948118;44.810161
-93.930152;44.803788
-93.957101;44.842018
-93.966084;44.816534
-93.948118;44.816534
-93.939135;44.842018
-93.966084;44.822906
-93.930152;44.810161
-93.957101;44.848387
-93.939135;44.848387
-93.948118;44.822906
-93.930152;44.816534
-93.957101;44.854755
-93.939135;44.854755
-93.966084;44.829277
-93.930152;44.822906
-93.939135;44.861123
-93.948118;44.829277
-93.957101;44.861123
-93.966084;44.835648
-93.939135;44.867490
-93.948118;44.835648
-93.930152;44.829277
-93.957101;44.867490
-93.939135;44.873857
-93.966084;44.842018
-93.948118;44.842018
-93.930152;44.835648
-93.957101;44.873857
-93.939135;44.880222
-93.957101;44.880222
-93.948118;44.848387
-93.966084;44.848387
-93.930152;44.842018
-93.939135;44.886587
-93.957101;44.886587
-93.948118;44.854755
-93.930152;44.848387
-93.957101;44.892951
-93.966084;44.854755
-93.930152;44.854755
-93.939135;44.892951
-93.948118;44.861123
-93.957101;44.899315
-93.966084;44.861123
-93.930152;44.861123
-93.957101;44.905678
-93.966084;44.867490
-93.939135;44.899315
-93.930152;44.867490
-93.948118;44.867490
-93.957101;44.912040
-93.966084;44.873857
-93.930152;44.873857
-93.948118;44.873857
-93.939135;44.905678
-93.966084;44.880222
-93.957101;44.918401
-93.930152;44.880222
-93.948118;44.880222
-93.966084;44.886587
-93.939135;44.912040
-93.957101;44.924762
-93.948118;44.886587
-93.966084;44.892951
-93.930152;44.886587
-93.957101;44.931122
-93.948118;44.892951
-93.966084;44.899315
-93.939135;44.918401
-93.948118;44.899315
-93.966084;44.905678
-93.957101;44.937482
-93.939135;44.924762
-93.930152;44.892951
-93.966084;44.912040
-93.939135;44.931122
-93.930152;44.899315
-93.957101;44.943840
-93.966084;44.918401
-93.948118;44.905678
-93.939135;44.937482
-93.930152;44.905678
-93.966084;44.924762
-93.930152;44.912040
-93.939135;44.943840
-93.948118;44.912040
-93.957101;44.950198
-93.966084;44.931122
-93.930152;44.918401
-93.948118;44.918401
-93.966084;44.937482
-93.930152;44.924762
-93.939135;44.950198
